customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0000,Male,0,No,Yes,57,No,Yes,Fiber optic,No,No,Two year,No,Mailed check,39.04,2370.06,No
CUST-0001,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No internet service,No,One year,Yes,Credit card,47.03,300.66,Yes
CUST-0002,Male,0,No,No,56,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,96.65,5056.11,Yes
CUST-0003,Male,0,No,Yes,67,Yes,Yes,No,No,No internet service,One year,No,Mailed check,33.94,2188.08,No
CUST-0004,Male,0,Yes,Yes,16,Yes,No,No,Yes,No,Two year,No,Mailed check,22.41,345.7,No
CUST-0005,Female,0,Yes,No,51,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,57.4,3020.37,No
CUST-0006,Male,1,No,No,12,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Credit card,59.64,733.3,Yes
CUST-0007,Male,0,Yes,No,53,Yes,Yes,No,No,Yes,Two year,Yes,Credit card,63.09,3340.15,No
CUST-0008,Male,1,No,Yes,5,Yes,Yes,DSL,No,No internet service,One year,No,Electronic check,100.69,474.38,No
CUST-0009,Female,0,Yes,No,27,No,No,No,Yes,No,Month-to-month,No,Bank transfer,27.8,732.88,No
CUST-0010,Male,0,No,Yes,12,Yes,No,No,No internet service,No internet service,One year,No,Mailed check,88.39,1069.93,No
CUST-0011,Male,0,No,Yes,17,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,51.79,874.79,No
CUST-0012,Male,1,Yes,No,6,Yes,No phone service,No,Yes,Yes,Two year,Yes,Electronic check,49.0,272.08,No
CUST-0013,Male,1,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,111.25,572.88,No
CUST-0014,Female,0,No,No,57,Yes,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Credit card,42.85,2233.89,No
CUST-0015,Male,0,No,No,28,Yes,No,DSL,No internet service,No,One year,No,Credit card,82.25,2246.9,No
CUST-0016,Female,0,Yes,No,69,Yes,No phone service,No,No,No internet service,Month-to-month,Yes,Mailed check,45.51,3272.1,Yes
CUST-0017,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Mailed check,68.71,3664.74,No
CUST-0018,Female,1,No,Yes,33,Yes,No,No,No internet service,No,One year,No,Credit card,96.63,3233.42,No
CUST-0019,Male,0,Yes,No,62,Yes,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,106.17,6364.69,No
